LSO,Africa,Lesotho,2142252.0,73.562,0
LBR,Africa,Liberia,5057677.0,49.127,0
LBY,Africa,Libya,6871287.0,3.623,0
LIE,Europe,Liechtenstein,38137.0,237.012,0
LTU,Europe,Lithuania,2722291.0,45.135,0
LUX,Europe,Luxembourg,625976.0,231.447,0
MKD,Europe,Macedonia,2083380.0,82.6,0
MDG,Africa,Madagascar,27691019.0,43.951,0
MWI,Africa,Malawi,19129955.0,197.519,0
MYS,Asia,Malaysia,32365998.0,96.254,0
MDV,Asia,Maldives,540542.0,1454.433,0
MLI,Africa,Mali,20250834.0,15.196,0
MLT,Europe,Malta,441539.0,1454.037,0
MRT,Africa,Mauritania,4649660.0,4.289,0
MUS,Africa,Mauritius,1271767.0,622.962,0
MEX,North America,Mexico,128932753.0,66.444,0
MDA,Europe,Moldova,4033963.0,123.655,0
MCO,Europe,Monaco,39244.0,19347.5,0
MNG,Asia,Mongolia,3278292.0,1.98,0
MNE,Europe,Montenegro,628062.0,46.28,0
MSR,North America,Montserrat,4999.0,0,0
MAR,Africa,Morocco,36910558.0,80.08,0
MOZ,Africa,Mozambique,31255435.0,37.728,0
MMR,Asia,Myanmar,54409794.0,81.721,0
NAM,Africa,Namibia,2540916.0,3.078,0
NPL,Asia,Nepal,29136808.0,204.43,0
NLD,Europe,Netherlands,17134873.0,508.544,0
NCL,Oceania,New Caledonia,285491.0,15.342,0
NZL,Oceania,New Zealand,4822233.0,18.206,0
NIC,North America,Nicaragua,6624554.0,51.667,0
NER,Africa,Niger,24206636.0,16.955,0
NGA,Africa,Nigeria,206139587.0,209.588,0
MNP,Oceania,Northern Mariana Islands,57557.0,119.878,0
NOR,Europe,Norway,5421242.0,14.462,0
OMN,Asia,Oman,5106622.0,14.98,0
PAK,Asia,Pakistan,220892331.0,255.573,0
PSE,Asia,Palestine,5101416.0,778.202,0
PAN,North America,Panama,4314768.0,55.133,0
PNG,Oceania,Papua New Guinea,8947027.0,18.22,0
PRY,South America,Paraguay,7132530.0,17.144,0
PER,South America,Peru,32971846.0,25.129,0
PHL,Asia,Philippines,109581085.0,351.873,0
POL,Europe,Poland,37846605.0,124.027,0
PRT,Europe,Portugal,10196707.0,112.371,0
PRI,North America,Puerto Rico,2860840.0,376.232,0
QAT,Asia,Qatar,2881060.0,227.322,0
ROU,Europe,Romania,19237682.0,85.129,0
RUS,Europe,Russia,145934460.0,8.823,0
RWA,Africa,Rwanda,12952209.0,494.869,0
KNA,North America,Saint Kitts and Nevis,53192.0,212.865,0
LCA,North America,Saint Lucia,183629.0,293.187,0
VCT,North America,Saint Vincent and the Grenadines,110947.0,281.787,0
SMR,Europe,San Marino,33938.0,556.667,0
STP,Africa,Sao Tome and Principe,219161.0,212.841,0
SAU,Asia,Saudi Arabia,34813867.0,15.322,0
SEN,Africa,Senegal,16743930.0,82.328,0
SRB,Europe,Serbia,6804596.0,80.291,0
SYC,Africa,Seychelles,98340.0,208.354,0
SLE,Africa,Sierra Leone,7976985.0,104.7,0
SGP,Asia,Singapore,5850343.0,7915.731,0
SXM,North America,Sint Maarten (Dutch part),42882.0,1209.088,0
SVK,Europe,Slovakia,5459643.0,113.128,0
SVN,Europe,Slovenia,2078932.0,102.619,0
SOM,Africa,Somalia,15893219.0,23.5,0
ZAF,Africa,South Africa,59308690.0,46.754,0
KOR,Asia,South Korea,51269183.0,527.967,0
SSD,Africa,South Sudan,11193729.0,0,0
ESP,Europe,Spain,46754783.0,93.105,0
LKA,Asia,Sri Lanka,21413250.0,341.955,0
SDN,Africa,Sudan,43849269.0,23.258,0
SUR,South America,Suriname,586634.0,3.612,0
SWZ,Africa,Swaziland,1160164.0,79.492,0
SWE,Europe,Sweden,10099270.0,24.718,0
CHE,Europe,Switzerland,8654618.0,214.243,0
SYR,Asia,Syria,17500657.0,0,0
TWN,Asia,Taiwan,23816775.0,0,0
TJK,Asia,Tajikistan,9537642.0,64.281,0
TZA,Africa,Tanzania,59734213.0,64.699,0
THA,Asia,Thailand,69799978.0,135.132,0
TLS,Asia,Timor,1318442.0,87.176,0
TGO,Africa,Togo,8278737.0,143.366,0
TTO,North America,Trinidad and Tobago,1399491.0,266.886,0
TUN,Africa,Tunisia,11818618.0,74.228,0
TUR,Asia,Turkey,84339067.0,104.914,0
TCA,North America,Turks and Caicos Islands,38718.0,37.312,0
UGA,Africa,Uganda,45741000.0,213.759,0
UKR,Europe,Ukraine,43733759.0,77.39,0
ARE,Asia,United Arab Emirates,9890400.0,112.442,0
GBR,Europe,United Kingdom,67886004.0,272.898,0
USA,North America,United States,331002647.0,35.608,0
VIR,North America,United States Virgin Islands,104423.0,306.48,0
URY,South America,Uruguay,3473727.0,19.751,0
UZB,Asia,Uzbekistan,33469199.0,76.134,0
VAT,Europe,Vatican,809.0,0,0
VEN,South America,Venezuela,28435943.0,36.253,0
VNM,Asia,Vietnam,97338583.0,308.127,0
ESH,Africa,Western Sahara,597330.0,0,0
YEM,Asia,Yemen,29825968.0,53.508,0
ZMB,Africa,Zambia,18383956.0,22.995,0
ZWE,Africa,Zimbabwe,14862927.0,42.729,0
OWID_WRL,,World,7794798729.0,58.045,0
